image,label,class_id,group_id,sha256
cercospora/022442b192f16aa3238c.jpg,Cercospora,1,59,022442b192f16aa3238c50114a0be68333459a998a6b38d70778ec8badeedb19
cercospora/02508d3aec7d7388f593.jpg,Cercospora,1,108,02508d3aec7d7388f5932e1a0b7635bf805c32636a14c3d2b4b48325d941e188
cercospora/02b0b30ac5105472b2f7.jpg,Cercospora,1,163,02b0b30ac5105472b2f796d2c3bed366fdb8333c2bb9464ce784ba9ebe179994
cercospora/02e1b0be5a2caedc863d.jpg,Cercospora,1,265,02e1b0be5a2caedc863df9411d6812a554a1b3a2cf09c10bfe230c3f118ee819
cercospora/05751957229128f006c4.jpg,Cercospora,1,83,05751957229128f006c47c9609841e2e3f616d742c052093a5fd97fe85d37fe6
cercospora/05f5d6819ed050676102.jpg,Cercospora,1,932,05f5d6819ed050676102d8c57a160ad1c6cd73f23fa79f70dd85616fab0d6d8c
cercospora/0663a70b906e8a643d6e.jpg,Cercospora,1,263,0663a70b906e8a643d6ea14c4df00b1e1a51c26133b98f1ec3f2614fc9b4e8b4
cercospora/06bb44e858a81f10e819.jpg,Cercospora,1,1058,06bb44e858a81f10e81972f993bb9032888c89dceea92f3c3429469c61edefa3
cercospora/0715116b931e0d5b387a.jpg,Cercospora,1,251,0715116b931e0d5b387a138fe4bffc62e3b0cdd6f2c0f525e53e6553892f4126
cercospora/072afe8d19d523320476.jpg,Cercospora,1,88,072afe8d19d523320476cf4ec4a5618ec03c71a6c1ba2b6a46e3450c907995ae
cercospora/0895e36ca192b928e20b.jpg,Cercospora,1,1008,0895e36ca192b928e20bdcfc213b57c422dc43a75d4bcc40725653cb88f842fd
cercospora/08b7a22763fef21930af.jpg,Cercospora,1,9,08b7a22763fef21930afe536dc6f8a518bdc10f9a8b27b3f2b42713b96e22398
cercospora/0921deceb4fae9456ae9.jpg,Cercospora,1,28,0921deceb4fae9456ae96a431df812f5e47f64d7cf6a16ae84323ccb2c384387
cercospora/0bc85a8363690c02e62e.jpg,Cercospora,1,123,0bc85a8363690c02e62e50657dc915f6e3bd3bfdd84f6ca73ac14edac537c571
cercospora/0cffa58f374a7701007e.jpg,Cercospora,1,208,0cffa58f374a7701007e0409f70c8d98a9b098565a3db53959a354738a7e511f
cercospora/0d8660b1aebd64b97623.jpg,Cercospora,1,940,0d8660b1aebd64b976230b158bd6ce40d7cdc9bc59bb991048a41def2320a2fa
cercospora/0dbb150f059bc4b29e8d.jpg,Cercospora,1,11,0dbb150f059bc4b29e8d1a2c9365a9d32a82d5f8ae96e799d82d468c98536fb2
cercospora/0e7a40a9984a5a72d246.jpg,Cercospora,1,954,0e7a40a9984a5a72d2460220372e1e25e73a933fdb24a92620e2579076d29ca3
cercospora/0eecc72fdf74fc4d43d2.jpg,Cercospora,1,180,0eecc72fdf74fc4d43d2b8abd7c52f0bbea0718f52d9b9092d04848f512fc285
cercospora/11269a856ad3eb05f4c7.jpg,Cercospora,1,22,11269a856ad3eb05f4c77abc1516724122a7d16ffbfae8ef440fa741c627be4c
cercospora/1160134970940a93b9dc.jpg,Cercospora,1,254,1160134970940a93b9dc094112e39704f77ada1c884293da831df77a95f558df
cercospora/1163ad429031d93a31e5.jpg,Cercospora,1,188,1163ad429031d93a31e57f47f57518afac43aeb48b5f5d1cc3bdda1dae0456f7
cercospora/11a08bce73b1fd44d727.jpg,Cercospora,1,211,11a08bce73b1fd44d727a58e1283be63115c53711cd62ef9c91f3d378a63f8cb
cercospora/11e3f81d859b97368c4a.jpg,Cercospora,1,927,11e3f81d859b97368c4a4dc914bc9b66ca65e9ee457fc608f233f6c1ddca50c8
cercospora/122a0b9568e83efe2a65.jpg,Cercospora,1,127,122a0b9568e83efe2a659976f2c35b30b26da2006d1b26553374f330a988fd48
cercospora/123f01da4cb7a122939e.jpg,Cercospora,1,94,123f01da4cb7a122939e3bbe4da551cfba23fae82e0d131a22e97b5ceeb5b878
