split,image,label,lesion_frac,leaf_frac,status,pred,confidence,answered_wrong,wrong_top_class
val,cercospora/085cebb0046414769c8f.jpg,Cercospora,0.05212558209403635,0.18058268229166666,accepted,Cercospora,0.985271692276001,False,False
val,cercospora/0cf338932e4c4bd1d210.jpg,Cercospora,0.013904866703346171,0.18078161168981483,accepted,Cercospora,0.996215283870697,False,False
val,cercospora/0d45844318a942691228.jpg,Cercospora,0.12289328014348888,0.2923990885416667,accepted,Cercospora,0.9984459280967712,False,False
val,cercospora/10f2268251a55a7b2abb.jpg,Cercospora,0.07784621245793384,0.28481264467592593,accepted,Cercospora,0.9973499774932861,False,False
val,cercospora/166989c78ae98934ec53.jpg,Cercospora,0.0006355258976803305,0.028455946180555556,accepted,Cercospora,0.9912779331207275,False,False
val,cercospora/16d5af31e3e38ff304b9.jpg,Cercospora,0.005916222069621256,0.17117874710648148,accepted,Cercospora,0.9738362431526184,False,False
val,cercospora/1ce6bc370ac6be5151da.jpg,Cercospora,0.00010818998160770312,0.08357747395833333,accepted,Cercospora,0.9987596273422241,False,False
val,cercospora/1e39f24976264e4f7d5c.jpg,Cercospora,0.01422119727106755,0.1882052951388889,accepted,Cercospora,0.9729937314987183,False,False
val,cercospora/22eba80afb662f457f3e.jpg,Cercospora,0.05876032502854073,0.13464807581018517,accepted,Cercospora,0.9970543384552002,False,False
val,cercospora/27e0ce672b2e251d007e.jpg,Cercospora,0.09548482605477424,0.23210539641203703,accepted,Cercospora,0.997911274433136,False,False
val,cercospora/2a5ea6acbd2a101537c1.jpg,Cercospora,0.08426966292134831,0.0804759837962963,accepted,Cercospora,0.9992491602897644,False,False
val,cercospora/2d2557510ec7befbdb5f.jpg,Cercospora,0.08579571021448927,0.1808539496527778,accepted,Cercospora,0.999200165271759,False,False
val,cercospora/2e9855578b171a02648a.jpg,Cercospora,0.0005768676088837611,0.06269892939814815,accepted,Cercospora,0.9850148558616638,False,False
val,cercospora/3ca87c2131349e6e96c8.jpg,Cercospora,0.006935131614238093,0.2359935619212963,uncertain,Cercospora,0.7151038646697998,False,False
val,cercospora/3ea05574134919e0c804.jpg,Cercospora,0.027323289594470543,0.1674533420138889,accepted,Cercospora,0.99741530418396,False,False
val,cercospora/42033aafee7bbf075ea4.jpg,Cercospora,0.002990207071839725,0.12095811631944445,accepted,Cercospora,0.9987388253211975,False,False
val,cercospora/42f6eddaea08c67b4e52.jpg,Cercospora,0.0,0.054868344907407406,accepted,Cercospora,0.9982086420059204,False,False
val,cercospora/4c0527cd3551918ece11.jpg,Cercospora,0.008330762110459735,0.0879177517361111,accepted,Cercospora,0.9972906708717346,False,False
val,cercospora/4c082dde3acf9e5cdce3.jpg,Cercospora,0.11146940271161597,0.2467628761574074,accepted,Cercospora,0.9916634559631348,False,False
val,cercospora/50bb061cdeba84f40bc4.jpg,Cercospora,0.015428175199352825,0.15648509837962962,accepted,Cercospora,0.9986991882324219,False,False
val,cercospora/536b13a2fcf1d76248d8.jpg,Cercospora,0.0014253474284356812,0.07612666377314815,accepted,Cercospora,0.998212456703186,False,False
val,cercospora/536b7635073e42a96c1b.jpg,Cercospora,0.505052220429651,0.10649052372685185,accepted,Cercospora,0.9789479374885559,False,False
val,cercospora/57a730d23257d4285de3.jpg,Cercospora,0.023943177912704776,0.07892975983796297,accepted,Cercospora,0.9991752505302429,False,False
val,cercospora/64e7a37a567e918b25d9.jpg,Cercospora,0.17597916892698276,0.1666847511574074,accepted,Cercospora,0.9983118772506714,False,False
val,cercospora/684b2222b1906cf23137.jpg,Cercospora,0.0002711251694532309,0.10005244502314815,accepted,Cercospora,0.9969692826271057,False,False
val,cercospora/68a5135867da31b1581d.jpg,Cercospora,0.10191156593937054,0.23414894386574073,accepted,Cercospora,0.9541944861412048,False,False
val,cercospora/6b0326485f851a77d15f.jpg,Cercospora,0.029811378622910598,0.29482241030092593,accepted,Cercospora,0.9942732453346252,False,False
val,cercospora/6e2de3dcccaf64b0941e.jpg,Cercospora,0.018314419334794125,0.2764847366898148,accepted,Cercospora,0.9961051940917969,False,False
val,cercospora/712af3b1b6715b635c8e.jpg,Cercospora,0.09543923165887264,0.17982313368055555,accepted,Cercospora,0.9987642765045166,False,False
val,cercospora/72a6e48842d0ad6d818c.jpg,Cercospora,0.015019379844961241,0.1306423611111111,accepted,Cercospora,0.9984070658683777,False,False
val,cercospora/748b92c4131d3e7c9af8.jpg,Cercospora,0.0023584905660377358,0.03833912037037037,accepted,Cercospora,0.9955180287361145,False,False
val,cercospora/78188f5797ace5fd7805.jpg,Cercospora,0.00336976320582878,0.09928385416666667,accepted,Cercospora,0.9908140301704407,False,False
val,cercospora/7db659f18703998d36be.jpg,Cercospora,0.01001040041601664,0.1391059027777778,accepted,Cercospora,0.9964274764060974,False,False
val,cercospora/891db988ee398784fc69.jpg,Cercospora,0.004475927295372281,0.23232241030092593,accepted,Cercospora,0.9979000091552734,False,False
val,cercospora/8b70634b0f0f7a096c7a.jpg,Cercospora,0.007402760351317441,0.07206669560185185,accepted,Cercospora,0.9977983832359314,False,False
val,cercospora/8bd75e568a4acd862039.jpg,Cercospora,0.015460369566368402,0.17078088831018517,accepted,Cercospora,0.9985734224319458,False,False
val,cercospora/902b25cab4c6e4841c92.jpg,Cercospora,0.004061021258563458,0.25605830439814814,uncertain,Cercospora,0.9317261576652527,False,False
val,cercospora/9206326b53c47230c0de.jpg,Cercospora,0.02061936495491964,0.3460015190972222,accepted,Cercospora,0.9943295121192932,False,False
val,cercospora/93c140949e163aed6cda.jpg,Cercospora,0.007962300942476437,0.05564597800925926,accepted,Cercospora,0.9959079027175903,False,False
val,cercospora/9450efe8c2d53db19031.jpg,Cercospora,0.000932635052729751,0.1260398582175926,accepted,Cercospora,0.9994257688522339,False,False
val,cercospora/94da1374a3eb3d878a19.jpg,Cercospora,0.01588100430576525,0.16170247395833334,accepted,Cercospora,0.9960773587226868,False,False
val,cercospora/97bfc78fea38070edda9.jpg,Cercospora,0.024956383220814685,0.11920392071759259,accepted,Cercospora,0.9993783235549927,False,False
val,cercospora/9b475cee9d52d546d481.jpg,Cercospora,0.004745312759250041,0.2724880642361111,accepted,Cercospora,0.9995972514152527,False,False
val,cercospora/9be16144c14c0a3dd297.jpg,Cercospora,0.03670363122417917,0.20792643229166666,accepted,Cercospora,0.9997391104698181,False,False
val,cercospora/9da8a7daa6c54ca44e63.jpg,Cercospora,0.019577609569199142,0.19352213541666666,uncertain,Cercospora,0.4870137870311737,False,False
val,cercospora/a16f9a89dd13aacb8298.jpg,Cercospora,0.005102962427745664,0.20023148148148148,accepted,Cercospora,0.9964895844459534,False,False
val,cercospora/a1ed2d1bb8b84c1dbcaa.jpg,Cercospora,0.002866370609608397,0.22397641782407407,accepted,Cercospora,0.9970086216926575,False,False
val,cercospora/a32634339d337fdbbd69.jpg,Cercospora,0.088546614194599,0.13326461226851852,accepted,Cercospora,0.9995606541633606,False,False
